Date &Time [DD-MM-YYYY/HH:MM:SS],Phase,Barometric pressure [hPa],Salinity [â],CH1 O2 input [phase],CH1 temp (∞C),CH1 O2 [mgO2/L],CH2 O2 input [phase],CH2 temp (∞C),CH2 O2 [mgO2/L],CH3 O2 input [phase],CH3 temp (∞C),CH3 O2 [mgO2/L],CH4 O2 input [V],CH4 temp (∞C),CH4 O2 [mgO2/L],CH5 O2 input [V],CH5 temp (∞C),CH5 O2 [mgO2/L],CH6 O2 input [V],CH6 temp (∞C),CH6 O2 [mgO2/L],CH7 O2 input [V],CH7 temp (∞C),CH7 O2 [mgO2/L],CH8 O2 input [V],CH8 temp (∞C),CH8 O2 [mgO2/L],CH1 Velocity input [V],CH1 Velocity [cm/s],CH5 Velocity input [V],CH5 Velocity [cm/s],AMB temp N∞1 input [V],AMB temp N∞1 [∞C],AMB temp N∞1 relay,AMB temp N∞2 input [V],AMB temp N∞2 [∞C],AMB temp N∞2 relay,AMB O2 N∞1 input (V),AMB O2 N∞1 temp (∞C),AMB O2 N∞1 [mgO2/L],AMB O2 N∞1 relay,AMB O2 N∞2 input (V),AMB O2 N∞2 temp (∞C),AMB O2 N∞2 [mgO2/L],AMB O2 N∞2 relay,User event
2024-08-26/4:16:03 PM,M1   ,1013,0,29.605,9.71,11.39,29.8788,9.71,11.44,29.7538,9.71,11.44,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:04 PM,M1   ,1013,0,29.575,9.71,11.42,29.875,9.71,11.44,29.7763,9.71,11.42,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:05 PM,M1   ,1013,0,29.6037,9.71,11.39,29.9037,9.71,11.41,29.755,9.71,11.44,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:06 PM,M1   ,1013,0,29.5637,9.71,11.43,29.8625,9.71,11.46,29.7837,9.71,11.41,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:07 PM,M1   ,1013,0,29.5862,9.71,11.41,29.8788,9.71,11.44,29.7437,9.71,11.46,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:08 PM,M1   ,1013,0,29.5538,9.71,11.44,29.8725,9.71,11.45,29.7675,9.71,11.43,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:09 PM,M1   ,1013,0,29.515,9.71,11.48,29.8875,9.71,11.43,29.7538,9.71,11.44,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:10 PM,M1   ,1013,0,29.5463,9.71,11.45,29.8688,9.71,11.45,29.7788,9.71,11.42,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:11 PM,M1   ,1013,0,29.5237,9.71,11.47,29.8612,9.71,11.46,29.77,9.71,11.43,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:12 PM,M1   ,1013,0,29.55,9.71,11.45,29.8688,9.71,11.45,29.775,9.71,11.42,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:13 PM,M1   ,1013,0,29.5538,9.71,11.44,29.8612,9.71,11.46,29.8038,9.71,11.39,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:14 PM,M1   ,1013,0,29.5725,9.71,11.42,29.8712,9.71,11.45,29.76,9.71,11.44,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:15 PM,M1   ,1013,0,29.525,9.71,11.47,29.88,9.71,11.44,29.7638,9.71,11.43,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:16 PM,M1   ,1013,0,29.5625,9.71,11.43,29.8775,9.71,11.44,29.7888,9.71,11.41,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:17 PM,M1   ,1013,0,29.58,9.71,11.42,29.8637,9.71,11.46,29.7812,9.71,11.42,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:18 PM,M1   ,1013,0,29.5737,9.71,11.42,29.8888,9.71,11.43,29.7875,9.71,11.41,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:19 PM,M1   ,1013,0,29.5375,9.71,11.46,29.875,9.71,11.44,29.7737,9.71,11.42,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:20 PM,M1   ,1013,0,29.5875,9.71,11.41,29.845,9.71,11.47,29.7963,9.71,11.4,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:21 PM,M1   ,1013,0,29.57,9.71,11.43,29.8812,9.71,11.44,29.7725,9.71,11.43,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7088,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:22 PM,M1   ,1013,0,29.5637,9.7,11.44,29.8888,9.7,11.43,29.7888,9.7,11.41,NaN,9.7,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7012,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:23 PM,M1   ,1013,0,29.525,9.71,11.47,29.8825,9.71,11.44,29.7763,9.71,11.42,NaN,9.71,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:24 PM,M1   ,1013,0,29.5663,9.71,11.43,29.8962,9.71,11.42,29.7525,9.71,11.45,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:25 PM,M1   ,1013,0,29.6025,9.71,11.39,29.8712,9.71,11.45,29.7725,9.71,11.43,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:26 PM,M1   ,1013,0,29.5538,9.71,11.44,29.88,9.71,11.44,29.7862,9.71,11.41,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7088,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:27 PM,M1   ,1013,0,29.5775,9.7,11.42,29.8837,9.7,11.44,29.7638,9.7,11.44,NaN,9.7,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:28 PM,M1   ,1013,0,29.5625,9.7,11.44,29.905,9.7,11.42,29.7862,9.7,11.42,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:29 PM,M1   ,1013,0,29.5762,9.7,11.42,29.8712,9.7,11.45,29.7588,9.7,11.44,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:30 PM,M1   ,1013,0,29.5475,9.7,11.45,29.8788,9.7,11.45,29.7488,9.7,11.46,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:31 PM,M1   ,1013,0,29.5363,9.7,11.47,29.8725,9.7,11.45,29.7425,9.7,11.46,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7012,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:32 PM,M1   ,1013,0,29.5712,9.71,11.43,29.8875,9.71,11.43,29.7625,9.71,11.44,NaN,9.71,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7088,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:33 PM,M1   ,1013,0,29.515,9.7,11.49,29.8712,9.7,11.45,29.78,9.7,11.42,NaN,9.7,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:34 PM,M1   ,1013,0,29.55,9.7,11.45,29.8788,9.7,11.45,29.7775,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:35 PM,M1   ,1013,0,29.555,9.7,11.45,29.87,9.7,11.45,29.7613,9.7,11.44,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:36 PM,M1   ,1013,0,29.59,9.7,11.41,29.87,9.7,11.45,29.77,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7012,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:37 PM,M1   ,1013,0,29.5862,9.71,11.41,29.87,9.71,11.45,29.7675,9.71,11.43,NaN,9.71,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.71,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:38 PM,M1   ,1013,0,29.5675,9.71,11.43,29.8712,9.71,11.45,29.75,9.71,11.45,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7088,9.71,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:39 PM,M1   ,1013,0,29.6137,9.7,11.39,29.8788,9.7,11.45,29.7525,9.7,11.45,NaN,9.7,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,9.71,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:40 PM,M1   ,1013,0,29.5738,9.7,11.43,29.8712,9.7,11.45,29.775,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:41 PM,M1   ,1013,0,29.5975,9.7,11.4,29.8837,9.7,11.44,29.805,9.7,11.4,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:42 PM,M1   ,1013,0,29.5812,9.7,11.42,29.9075,9.7,11.42,29.7712,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:43 PM,M1   ,1013,0,29.59,9.7,11.41,29.89,9.7,11.43,29.78,9.7,11.42,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:44 PM,M1   ,1013,0,29.5912,9.7,11.41,29.8875,9.7,11.44,29.7775,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:45 PM,M1   ,1013,0,29.5988,9.7,11.4,29.8738,9.7,11.45,29.7625,9.7,11.44,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:46 PM,M1   ,1013,0,29.5862,9.7,11.41,29.895,9.7,11.43,29.7788,9.7,11.42,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:47 PM,M1   ,1013,0,29.5612,9.7,11.44,29.8637,9.7,11.46,29.7737,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.6987,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:48 PM,M1   ,1013,0,29.5712,9.69,11.43,29.8925,9.69,11.44,29.7975,9.69,11.41,NaN,9.69,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:49 PM,M1   ,1013,0,29.5837,9.69,11.42,29.9075,9.69,11.42,29.7788,9.69,11.43,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:50 PM,M1   ,1013,0,29.5975,9.69,11.41,29.8925,9.69,11.44,29.7712,9.69,11.44,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:51 PM,M1   ,1013,0,29.5213,9.69,11.49,29.9075,9.69,11.42,29.775,9.69,11.43,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:52 PM,M1   ,1013,0,29.5937,9.69,11.41,29.8912,9.69,11.44,29.75,9.69,11.46,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:53 PM,M1   ,1013,0,29.5525,9.69,11.45,29.8975,9.69,11.43,29.815,9.69,11.39,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:54 PM,M1   ,1013,0,29.5637,9.69,11.44,29.8812,9.69,11.45,29.78,9.69,11.43,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.69,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:55 PM,M1   ,1013,0,29.525,9.69,11.48,29.8888,9.69,11.44,29.7838,9.69,11.42,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.6913,9.69,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:56 PM,M1   ,1013,0,29.5562,9.7,11.45,29.8837,9.7,11.44,29.805,9.7,11.4,NaN,9.7,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,9.69,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
2024-08-26/4:16:57 PM,M1   ,1013,0,29.5363,9.7,11.47,29.9062,9.7,11.42,29.7725,9.7,11.43,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,9.7,NaN,NaN,NaN,NaN,NaN,9.7,9.7,OFF,NaN,NaN,OFF,NaN,20,NaN,OFF,NaN,20,NaN,OFF,
