Date & time of file creation	2024-08-26 5:21 PM																										
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 12 - Aug 26 2024\2024-08-26-BrookTroutEPOC_10c_trial12.txt																										
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 12 - Aug 26 2024\2024-08-26-BrookTroutEPOC_10c_trial12_raw.txt																										
																											
																											
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																						
Chamber 1	100	900	10																								
Chamber 2	100	900																									
Chamber 3	100	900																									
																											
																											
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-26/8:24:07 PM	10925	11	F300/W1/M600	70.3	-7.812	0.996	11.17	9.86	10.57	9.83	46.0	-5.109	0.991	11.13	10.33	10.77	9.83	189.5	-21.058	0.999	10.94	7.62	9.32	9.83	9.81	20.00	0.10
2024-08-26/8:39:08 PM	11827	12	F300/W1/M600	56.0	-6.226	0.977	11.16	10.11	10.74	9.94	45.3	-5.030	0.993	11.14	10.35	10.79	9.94	184.4	-20.488	0.996	10.89	7.72	9.33	9.94	9.92	20.00	0.10
2024-08-26/8:54:09 PM	12727	13	F300/W1/M600	55.5	-6.164	0.982	11.09	10.00	10.62	10.04	44.0	-4.884	0.994	11.15	10.37	10.80	10.04	172.5	-19.169	0.998	10.90	7.91	9.47	10.04	10.03	20.00	0.10
2024-08-26/9:09:10 PM	13629	14	F300/W1/M600	41.9	-4.658	0.998	11.13	10.38	10.76	10.14	44.6	-4.952	0.995	11.13	10.35	10.78	10.14	161.9	-17.985	0.998	10.94	8.16	9.64	10.14	10.13	20.00	0.10
2024-08-26/9:24:11 PM	14530	15	F300/W1/M600	30.9	-3.431	0.993	11.15	10.58	10.87	10.18	40.4	-4.487	0.996	11.14	10.43	10.81	10.18	166.1	-18.459	0.993	10.90	8.13	9.62	10.18	10.19	20.00	0.10
2024-08-26/9:39:12 PM	15431	16	F300/W1/M600	28.6	-3.178	0.991	11.22	10.66	10.98	9.81	36.7	-4.079	0.990	11.20	10.55	10.91	9.81	157.6	-17.509	0.999	10.94	8.12	9.60	9.81	9.87	20.00	0.10
2024-08-26/9:54:13 PM	16331	17	F300/W1/M600	43.1	-4.790	0.994	11.28	10.52	10.89	9.69	42.6	-4.737	0.995	11.24	10.50	10.90	9.69	165.4	-18.378	0.997	11.06	8.28	9.67	9.69	9.67	20.00	0.10
2024-08-26/10:09:14 PM	17233	18	F300/W1/M600	49.3	-5.477	0.981	11.26	10.41	10.81	9.80	41.7	-4.630	0.993	11.27	10.53	10.93	9.80	158.2	-17.577	0.994	11.06	8.35	9.77	9.80	9.78	20.00	0.10
2024-08-26/10:24:15 PM	18134	19	F300/W1/M600	33.3	-3.701	0.996	11.26	10.65	10.96	9.90	42.3	-4.699	0.994	11.26	10.52	10.92	9.90	157.5	-17.500	0.996	11.04	8.16	9.67	9.90	9.88	20.00	0.10
2024-08-26/10:39:16 PM	19035	20	F300/W1/M600	32.8	-3.642	0.995	11.24	10.63	10.95	9.99	42.6	-4.735	0.994	11.23	10.47	10.89	9.99	161.9	-17.988	0.997	10.97	8.09	9.64	9.99	9.98	20.00	0.10
2024-08-26/10:54:17 PM	19936	21	F300/W1/M600	38.5	-4.274	0.981	11.22	10.47	10.89	10.09	42.6	-4.733	0.993	11.20	10.45	10.86	10.09	141.9	-15.763	0.997	11.00	8.47	9.70	10.09	10.07	20.00	0.10
2024-08-26/11:09:18 PM	20837	22	F300/W1/M600	80.2	-8.911	0.987	11.17	9.75	10.54	10.18	43.0	-4.773	0.994	11.16	10.39	10.81	10.18	74.4	-8.265	0.996	11.10	9.76	10.42	10.18	10.16	20.00	0.10
2024-08-26/11:24:19 PM	21738	23	F300/W1/M600	94.9	-10.548	0.989	11.13	9.55	10.41	10.27	44.5	-4.942	0.990	11.16	10.37	10.81	10.27	77.8	-8.639	0.992	11.13	9.73	10.51	10.27	10.25	20.00	0.10
2024-08-26/11:39:20 PM	22639	24	F300/W1/M600	80.7	-8.961	0.990	11.14	9.72	10.53	9.98	35.8	-3.976	0.989	11.18	10.54	10.89	9.98	74.2	-8.243	0.976	11.15	9.81	10.62	9.98	10.05	20.00	0.10
2024-08-26/11:54:21 PM	23540	25	F300/W1/M600	37.7	-4.192	0.986	11.24	10.52	10.94	9.70	40.3	-4.480	0.981	11.24	10.54	10.94	9.70	142.6	-15.846	0.995	11.06	8.60	9.94	9.70	9.73	20.00	0.10
2024-08-27/12:09:22 AM	24441	26	F300/W1/M600	32.9	-3.654	0.995	11.27	10.64	10.96	9.81	40.1	-4.456	0.992	11.26	10.54	10.94	9.81	158.2	-17.580	0.993	11.04	8.36	9.80	9.81	9.80	20.00	0.10
2024-08-27/12:24:23 AM	25342	27	F300/W1/M600	32.1	-3.565	0.994	11.25	10.66	10.98	9.90	40.4	-4.494	0.992	11.26	10.55	10.94	9.90	109.6	-12.174	0.994	11.12	9.21	10.14	9.90	9.89	20.00	0.10
2024-08-27/12:39:24 AM	26243	28	F300/W1/M600	34.9	-3.882	0.993	11.25	10.63	10.96	9.99	43.7	-4.860	0.994	11.26	10.49	10.91	9.99	71.1	-7.900	0.986	11.21	9.98	10.68	9.99	9.98	20.00	0.10
2024-08-27/12:54:25 AM	27144	29	F300/W1/M600	69.2	-7.692	0.989	11.24	9.97	10.67	10.08	42.5	-4.718	0.994	11.23	10.47	10.89	10.08	59.3	-6.584	0.995	11.21	10.16	10.74	10.08	10.07	20.00	0.10
2024-08-27/1:09:26 AM	28045	30	F300/W1/M600	44.6	-4.961	0.990	11.22	10.34	10.84	10.16	42.2	-4.686	0.990	11.20	10.46	10.87	10.16	75.1	-8.345	0.995	11.20	9.92	10.58	10.16	10.15	20.00	0.10
2024-08-27/1:24:27 AM	28946	31	F300/W1/M600	85.5	-9.500	0.993	11.15	9.65	10.48	10.25	41.4	-4.601	0.993	11.17	10.43	10.84	10.25	105.3	-11.695	0.980	11.15	9.27	10.37	10.25	10.24	20.00	0.10
2024-08-27/1:39:28 AM	29847	32	F300/W1/M600	72.5	-8.059	0.994	11.09	9.84	10.52	10.22	34.3	-3.815	0.995	11.11	10.49	10.83	10.22	136.3	-15.149	0.992	10.98	8.58	9.94	10.22	10.25	20.00	0.10
2024-08-27/1:54:29 AM	30748	33	F300/W1/M600	27.1	-3.011	0.995	11.18	10.67	10.94	9.82	33.1	-3.674	0.986	11.16	10.57	10.91	9.82	55.0	-6.108	0.996	11.01	10.00	10.54	9.82	9.89	20.00	0.10
2024-08-27/2:09:30 AM	31649	34	F300/W1/M600	31.0	-3.447	0.995	11.25	10.68	10.98	9.84	39.1	-4.344	0.993	11.23	10.55	10.92	9.84	112.5	-12.495	0.985	11.18	9.22	10.35	9.84	9.82	20.00	0.10
2024-08-27/2:24:31 AM	32550	35	F300/W1/M600	30.3	-3.367	0.996	11.26	10.69	10.99	9.93	39.5	-4.385	0.994	11.28	10.58	10.96	9.93	61.0	-6.781	0.991	11.22	10.14	10.75	9.93	9.92	20.00	0.10
2024-08-27/2:39:32 AM	33451	36	F300/W1/M600	32.7	-3.629	0.994	11.26	10.66	10.98	10.01	39.3	-4.369	0.992	11.25	10.55	10.93	10.01	109.4	-12.158	0.976	11.22	9.28	10.45	10.01	10.00	20.00	0.10
2024-08-27/2:54:33 AM	34352	37	F300/W1/M600	30.8	-3.425	0.997	11.23	10.68	10.97	10.10	39.7	-4.407	0.992	11.20	10.50	10.88	10.10	120.0	-13.328	0.994	11.10	8.95	10.13	10.10	10.08	20.00	0.10
2024-08-27/3:09:34 AM	35253	38	F300/W1/M600	30.6	-3.398	0.997	11.20	10.63	10.93	10.18	39.4	-4.380	0.993	11.20	10.51	10.89	10.18	104.4	-11.597	0.963	11.14	9.26	10.42	10.18	10.17	20.00	0.10
2024-08-27/3:24:35 AM	36154	39	F300/W1/M600	33.6	-3.729	0.996	11.19	10.58	10.89	10.25	42.7	-4.749	0.989	11.18	10.43	10.86	10.25	66.7	-7.415	0.997	11.10	9.94	10.57	10.25	10.24	20.00	0.10
2024-08-27/3:39:36 AM	37055	40	F300/W1/M600	31.2	-3.466	0.996	11.17	10.61	10.89	10.32	40.6	-4.513	0.994	11.17	10.49	10.85	10.32	78.3	-8.696	0.992	11.12	9.73	10.52	10.32	10.32	20.00	0.10
2024-08-27/3:54:37 AM	37956	41	F300/W1/M600	24.2	-2.686	0.993	11.21	10.76	11.00	10.00	32.6	-3.624	0.987	11.20	10.63	10.96	10.00	65.4	-7.263	0.991	11.14	10.06	10.62	10.00	10.07	20.00	0.10
2024-08-27/4:09:38 AM	38857	42	F300/W1/M600	36.7	-4.082	0.995	11.25	10.59	10.93	9.88	38.7	-4.295	0.993	11.25	10.58	10.95	9.88	72.5	-8.052	0.986	11.21	9.89	10.67	9.88	9.86	20.00	0.10
2024-08-27/4:24:39 AM	39758	43	F300/W1/M600	34.3	-3.807	0.996	11.21	10.59	10.90	9.97	38.9	-4.326	0.993	11.27	10.59	10.97	9.97	135.1	-15.017	0.985	11.19	8.87	10.22	9.97	9.96	20.00	0.10
2024-08-27/4:39:40 AM	40658	44	F300/W1/M600	34.3	-3.812	0.996	11.23	10.61	10.93	10.05	39.0	-4.334	0.992	11.24	10.56	10.94	10.05	151.1	-16.785	0.997	11.02	8.41	9.83	10.05	10.04	20.00	0.10
2024-08-27/4:54:41 AM	41560	45	F300/W1/M600	30.5	-3.389	0.996	11.20	10.65	10.94	10.13	38.2	-4.245	0.993	11.21	10.54	10.91	10.13	65.1	-7.236	0.995	11.13	10.01	10.61	10.13	10.12	20.00	0.10
2024-08-27/5:09:42 AM	42461	46	F300/W1/M600	31.1	-3.451	0.997	11.20	10.63	10.93	10.21	38.6	-4.288	0.993	11.21	10.54	10.91	10.21	128.4	-14.270	0.982	11.11	8.86	10.18	10.21	10.20	20.00	0.10
2024-08-27/5:24:43 AM	43362	47	F300/W1/M600	34.7	-3.851	0.997	11.17	10.55	10.87	10.29	38.4	-4.266	0.992	11.18	10.51	10.88	10.29	124.4	-13.822	0.983	11.09	8.92	10.19	10.29	10.28	20.00	0.10
2024-08-27/5:39:44 AM	44263	48	F300/W1/M600	31.7	-3.518	0.995	11.13	10.55	10.86	10.37	39.8	-4.421	0.997	11.15	10.44	10.81	10.37	132.4	-14.713	0.983	11.05	8.75	10.10	10.37	10.36	20.00	0.10
2024-08-27/5:54:45 AM	45164	49	F300/W1/M600	24.0	-2.668	0.992	11.14	10.70	10.93	10.20	32.2	-3.578	0.985	11.15	10.60	10.91	10.20	146.3	-16.253	0.989	11.05	8.56	9.98	10.20	10.27	20.00	0.10
2024-08-27/6:09:46 AM	46065	50	F300/W1/M600	27.7	-3.083	0.974	11.21	10.69	10.99	9.84	41.2	-4.577	0.966	11.22	10.47	10.92	9.84	146.2	-16.248	0.996	11.03	8.48	9.87	9.84	9.90	20.00	0.10
2024-08-27/6:24:47 AM	46966	51	F300/W1/M600	42.7	-4.750	0.996	11.19	10.42	10.82	9.93	40.5	-4.497	0.987	11.22	10.49	10.91	9.93	147.0	-16.336	0.993	11.11	8.59	9.99	9.93	9.91	20.00	0.10
2024-08-27/6:39:48 AM	47867	52	F300/W1/M600	35.9	-3.985	0.992	11.19	10.54	10.90	10.01	47.5	-5.279	0.992	11.20	10.39	10.83	10.01	142.2	-15.802	0.997	10.97	8.49	9.81	10.01	10.00	20.00	0.10
2024-08-27/6:54:49 AM	48768	53	F300/W1/M600	77.7	-8.628	0.988	11.15	9.75	10.57	10.10	39.0	-4.339	0.989	11.20	10.51	10.90	10.10	87.2	-9.687	0.995	11.09	9.63	10.40	10.10	10.09	20.00	0.10
2024-08-27/7:09:50 AM	49669	54	F300/W1/M600	78.3	-8.697	0.985	11.13	9.77	10.56	10.18	43.3	-4.816	0.993	11.20	10.45	10.86	10.18	88.7	-9.859	0.997	11.06	9.53	10.35	10.18	10.17	20.00	0.10
2024-08-27/7:24:51 AM	50570	55	F300/W1/M600	96.5	-10.719	0.999	11.01	9.32	10.19	10.26	36.5	-4.054	0.992	11.16	10.51	10.87	10.26	100.6	-11.173	0.993	11.09	9.38	10.33	10.26	10.25	20.00	0.10
2024-08-27/7:39:52 AM	51471	56	F300/W1/M600	37.2	-4.135	0.996	11.09	10.42	10.77	10.35	36.5	-4.058	0.992	11.14	10.49	10.85	10.35	78.2	-8.684	0.995	11.07	9.73	10.45	10.35	10.34	20.00	0.10
2024-08-27/7:54:53 AM	52372	57	F300/W1/M600	27.7	-3.081	0.980	11.19	10.64	10.96	10.09	29.9	-3.327	0.985	11.19	10.65	10.95	10.09	52.3	-5.816	0.997	11.10	10.17	10.64	10.09	10.17	20.00	0.10
2024-08-27/8:09:54 AM	53273	58	F300/W1/M600	48.0	-5.335	0.964	11.20	10.23	10.65	9.74	32.5	-3.615	0.971	11.26	10.65	11.01	9.74	78.3	-8.697	0.993	11.20	9.82	10.59	9.74	9.80	20.00	0.10
2024-08-27/8:24:55 AM	54174	59	F300/W1/M600	32.4	-3.600	0.995	11.28	10.68	10.98	9.83	34.9	-3.874	0.991	11.27	10.65	10.99	9.83	66.0	-7.332	0.997	11.21	10.05	10.66	9.83	9.81	20.00	0.10
2024-08-27/8:39:56 AM	55075	60	F300/W1/M600	32.3	-3.588	0.995	11.28	10.68	10.99	9.93	36.7	-4.083	0.993	11.29	10.63	10.99	9.93	87.9	-9.771	0.997	11.23	9.69	10.51	9.93	9.92	20.00	0.10
2024-08-27/8:54:57 AM	55976	61	F300/W1/M600	36.2	-4.023	0.994	11.25	10.61	10.94	10.04	34.5	-3.834	0.991	11.25	10.65	10.98	10.04	70.2	-7.805	0.993	11.21	9.99	10.59	10.04	10.03	20.00	0.10
2024-08-27/9:09:58 AM	56877	62	F300/W1/M600	31.8	-3.538	0.994	11.23	10.64	10.94	10.16	35.0	-3.886	0.992	11.23	10.60	10.95	10.16	71.1	-7.896	0.994	11.19	9.99	10.60	10.16	10.14	20.00	0.10
2024-08-27/9:24:59 AM	57778	63	F300/W1/M600	23.8	-2.647	0.991	11.19	10.73	10.97	10.14	26.7	-2.972	0.989	11.20	10.70	10.98	10.14	52.4	-5.826	0.996	11.17	10.18	10.72	10.14	10.17	20.00	0.10
2024-08-27/9:40:00 AM	58679	64	F300/W1/M600	24.2	-2.693	0.975	11.27	10.80	11.05	9.79	28.4	-3.159	0.970	11.27	10.75	11.05	9.79	59.1	-6.567	0.992	11.22	10.21	10.74	9.79	9.85	20.00	0.10
2024-08-27/9:55:01 AM	59580	65	F300/W1/M600	29.6	-3.284	0.980	11.36	10.80	11.11	9.53	33.7	-3.745	0.969	11.36	10.75	11.10	9.53	72.6	-8.068	0.993	11.29	10.06	10.71	9.53	9.56	20.00	0.10
2024-08-27/10:10:02 AM	60481	66	F300/W1/M600	30.9	-3.428	0.994	11.36	10.79	11.08	9.68	34.2	-3.798	0.991	11.37	10.75	11.09	9.68	65.0	-7.224	0.998	11.31	10.17	10.75	9.68	9.66	20.00	0.10
2024-08-27/10:25:03 AM	61382	67	F300/W1/M600	31.2	-3.461	0.994	11.35	10.75	11.06	9.82	34.9	-3.879	0.992	11.36	10.73	11.07	9.82	55.0	-6.114	0.998	11.31	10.32	10.85	9.82	9.80	20.00	0.10
2024-08-27/10:40:04 AM	62283	68	F300/W1/M600	43.5	-4.839	0.989	11.27	10.51	10.91	9.97	35.0	-3.888	0.993	11.30	10.68	11.02	9.97	56.7	-6.296	0.996	11.26	10.26	10.78	9.97	9.94	20.00	0.10
2024-08-27/10:55:05 AM	63184	69	F300/W1/M600	26.7	-2.965	0.988	11.25	10.74	10.98	10.05	30.3	-3.364	0.993	11.26	10.72	11.00	10.05	50.9	-5.656	0.997	11.22	10.32	10.79	10.05	10.05	20.00	0.10
2024-08-27/11:10:06 AM	64085	70	F300/W1/M600	24.6	-2.736	0.990	11.29	10.81	11.08	9.74	26.7	-2.964	0.985	11.30	10.81	11.08	9.74	48.1	-5.348	0.995	11.24	10.40	10.85	9.74	9.80	20.00	0.10
2024-08-27/11:25:07 AM	64986	71	F300/W1/M600	25.0	-2.780	0.989	11.35	10.90	11.14	9.45	27.1	-3.015	0.986	11.37	10.87	11.15	9.45	53.6	-5.958	0.993	11.31	10.35	10.88	9.45	9.50	20.00	0.10
2024-08-27/11:40:08 AM	65887	72	F300/W1/M600	40.1	-4.453	0.995	11.39	10.66	11.01	9.30	40.7	-4.522	0.985	11.43	10.74	11.12	9.30	75.2	-8.358	0.987	11.38	10.15	10.77	9.30	9.30	20.00	0.10
2024-08-27/11:55:09 AM	66788	73	F300/W1/M600	31.2	-3.465	0.996	11.40	10.83	11.12	9.49	33.1	-3.683	0.993	11.43	10.83	11.15	9.49	53.8	-5.973	0.996	11.39	10.44	10.95	9.49	9.46	20.00	0.10
2024-08-27/12:10:10 PM	67689	74	F300/W1/M600	31.6	-3.507	0.996	11.38	10.80	11.10	9.65	35.5	-3.949	0.987	11.39	10.78	11.12	9.65	65.7	-7.299	0.993	11.36	10.27	10.84	9.65	9.62	20.00	0.10
2024-08-27/12:25:11 PM	68590	75	F300/W1/M600	31.6	-3.506	0.996	11.34	10.76	11.06	9.81	32.7	-3.630	0.992	11.34	10.76	11.08	9.81	53.6	-5.955	0.998	11.32	10.36	10.87	9.81	9.79	20.00	0.10
2024-08-27/12:40:12 PM	69491	76	F300/W1/M600	38.8	-4.314	0.993	11.29	10.61	10.96	9.97	33.1	-3.683	0.993	11.30	10.70	11.03	9.97	54.8	-6.087	0.998	11.26	10.29	10.80	9.97	9.95	20.00	0.10
2024-08-27/12:55:13 PM	70392	77	F300/W1/M600	25.3	-2.816	0.993	11.30	10.84	11.08	9.79	25.9	-2.876	0.987	11.30	10.83	11.09	9.79	48.9	-5.435	0.996	11.25	10.39	10.83	9.79	9.85	20.00	0.10
2024-08-27/1:10:14 PM	71293	78	F300/W1/M600	24.4	-2.715	0.994	11.34	10.89	11.12	9.52	26.3	-2.919	0.983	11.35	10.88	11.14	9.52	53.2	-5.915	0.996	11.29	10.36	10.85	9.52	9.57	20.00	0.10
2024-08-27/1:25:15 PM	72194	79	F300/W1/M600	36.0	-3.998	0.979	11.39	10.76	11.12	9.27	24.0	-2.662	0.984	11.42	10.99	11.23	9.27	49.4	-5.491	0.995	11.35	10.49	10.93	9.27	9.31	20.00	0.10
2024-08-27/1:40:16 PM	73095	80	F300/W1/M600	29.7	-3.301	0.992	11.45	10.88	11.19	9.05	28.4	-3.150	0.964	11.48	10.95	11.27	9.05	72.5	-8.054	0.968	11.43	10.07	10.92	9.05	9.08	20.00	0.10
2024-08-27/1:55:17 PM	73996	81	F300/W1/M600	29.5	-3.283	0.996	11.45	10.91	11.19	9.24	29.5	-3.278	0.990	11.48	10.95	11.24	9.24	68.1	-7.567	0.990	11.34	10.19	10.74	9.24	9.20	20.00	0.10
2024-08-27/2:10:18 PM	74897	82	F300/W1/M600	30.1	-3.346	0.995	11.43	10.87	11.17	9.43	30.5	-3.390	0.992	11.46	10.90	11.21	9.43	57.0	-6.336	0.996	11.41	10.43	10.95	9.43	9.40	20.00	0.10
2024-08-27/2:25:19 PM	75798	83	F300/W1/M600	29.9	-3.322	0.995	11.40	10.82	11.12	9.63	30.3	-3.361	0.991	11.41	10.87	11.17	9.63	50.0	-5.550	0.998	11.38	10.49	10.96	9.63	9.59	20.00	0.10
2024-08-27/2:40:20 PM	76699	84	F300/W1/M600	39.8	-4.417	0.994	11.30	10.52	10.93	9.83	30.4	-3.373	0.992	11.34	10.81	11.10	9.83	70.2	-7.796	0.990	11.31	10.14	10.72	9.83	9.80	20.00	0.10
2024-08-27/2:55:21 PM	77600	85	F300/W1/M600	26.9	-2.990	0.990	11.33	10.79	11.07	9.69	25.6	-2.842	0.985	11.33	10.85	11.12	9.69	57.7	-6.406	0.984	11.26	10.27	10.83	9.69	9.74	20.00	0.10
2024-08-27/3:10:22 PM	78501	86	F300/W1/M600	24.6	-2.737	0.990	11.35	10.88	11.12	9.49	24.3	-2.699	0.984	11.34	10.92	11.15	9.49	45.9	-5.102	0.997	11.30	10.49	10.92	9.49	9.52	20.00	0.10
2024-08-27/3:25:23 PM	79402	87	F300/W1/M600	33.6	-3.730	0.988	11.40	10.79	11.08	9.30	26.7	-2.967	0.989	11.41	10.91	11.17	9.30	48.7	-5.409	0.989	11.35	10.46	10.96	9.30	9.34	20.00	0.10
2024-08-27/3:40:24 PM	80303	88	F300/W1/M600	33.7	-3.746	0.990	11.43	10.79	11.13	9.12	23.2	-2.581	0.981	11.45	11.02	11.26	9.12	43.6	-4.839	0.996	11.40	10.62	11.04	9.12	9.15	20.00	0.10
2024-08-27/3:55:25 PM	81204	89	F300/W1/M600	26.0	-2.887	0.975	11.49	10.98	11.27	8.95	24.6	-2.729	0.962	11.51	11.04	11.31	8.95	52.1	-5.786	0.979	11.47	10.57	11.08	8.95	8.98	20.00	0.10
2024-08-27/4:10:26 PM	82105	90	F300/W1/M600	30.0	-3.332	0.992	11.48	10.93	11.22	9.17	28.9	-3.209	0.990	11.51	10.99	11.26	9.17	48.4	-5.382	0.996	11.47	10.61	11.06	9.17	9.13	20.00	0.10
2024-08-27/4:25:27 PM	83006	91	F300/W1/M600	30.7	-3.413	0.994	11.44	10.86	11.15	9.37	28.6	-3.172	0.992	11.46	10.94	11.22	9.37	49.1	-5.454	0.998	11.45	10.56	11.01	9.37	9.34	20.00	0.10
2024-08-27/4:40:28 PM	83907	92	F300/W1/M600	30.3	-3.364	0.993	11.39	10.84	11.13	9.56	28.6	-3.176	0.991	11.40	10.89	11.17	9.56	47.8	-5.312	0.997	11.38	10.51	10.98	9.56	9.53	20.00	0.10
2024-08-27/4:55:29 PM	84808	93	F300/W1/M600	32.7	-3.635	0.994	11.34	10.73	11.04	9.73	29.2	-3.240	0.993	11.35	10.82	11.10	9.73	48.2	-5.352	0.998	11.31	10.46	10.90	9.73	9.71	20.00	0.10
2024-08-27/5:10:30 PM	85709	94	F300/W1/M600	37.3	-4.145	0.989	11.27	10.61	10.93	9.90	32.7	-3.636	0.992	11.28	10.72	11.00	9.90	47.6	-5.288	0.997	11.26	10.42	10.85	9.90	9.87	20.00	0.10
2024-08-27/5:25:31 PM	86610	95	F300/W1/M600	23.8	-2.648	0.989	11.30	10.84	11.08	9.68	22.9	-2.546	0.985	11.29	10.86	11.10	9.68	42.8	-4.760	0.995	11.26	10.48	10.90	9.68	9.73	20.00	0.10
