Date & time of file creation	2024-08-24 2:18 PM																										
Data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 11 Aug 24 2024\2024-08-24-BrookTrout_EPOC_10c_Trial11.txt																										
Raw data file path	C:\Users\ry1ho\OneDrive\Desktop\Kenauk Respirometry   2024 RH\Respirometry Data Summer 2024\Good Trials\Trial 11 Aug 24 2024\2024-08-24-BrookTrout_EPOC_10c_Trial11_raw.txt																										
																											
																											
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																						
Chamber 1	100	900	10																								
Chamber 2	100	900																									
Chamber 3	100	900																									
																											
																											
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [mgO2/L/hr]	CH 1 R^2	CH 1 max O2 [mgO2/L]	CH 1 min O2 [mgO2/L]	CH 1 avg O2 [mgO2/L]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [mgO2/L/hr]	CH 2 R^2	CH 2 max O2 [mgO2/L]	CH 2 min O2 [mgO2/L]	CH 2 avg O2 [mgO2/L]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [mgO2/L/hr]	CH 3 R^2	CH 3 max O2 [mgO2/L]	CH 3 min O2 [mgO2/L]	CH 3 avg O2 [mgO2/L]	CH 3 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
2024-08-24/11:01:03 PM	31317	37	F300/W1/M600	41.6	-4.628	0.955	10.96	10.19	10.66	10.21	54.6	-6.063	0.990	11.09	10.13	10.67	10.21	53.0	-5.894	0.996	11.11	10.17	10.67	10.21	10.21	20.00	0.10
2024-08-24/11:16:04 PM	32218	38	F300/W1/M600	48.5	-5.394	0.953	10.95	10.06	10.61	10.20	70.8	-7.868	0.982	11.07	9.84	10.56	10.20	53.0	-5.889	0.996	11.11	10.16	10.67	10.20	10.20	20.00	0.10
2024-08-24/11:31:05 PM	33119	39	F300/W1/M600	40.7	-4.528	0.944	10.89	10.15	10.61	10.20	50.7	-5.636	0.991	11.04	10.16	10.64	10.20	52.4	-5.827	0.995	11.09	10.15	10.66	10.20	10.20	20.00	0.10
2024-08-24/11:46:06 PM	34020	40	F300/W1/M600	40.9	-4.542	0.947	10.92	10.15	10.63	10.19	49.3	-5.475	0.992	11.08	10.20	10.69	10.19	51.5	-5.725	0.996	11.11	10.20	10.68	10.19	10.20	20.00	0.10
2024-08-25/12:01:07 AM	34921	41	F300/W1/M600	38.8	-4.306	0.955	10.92	10.24	10.66	10.19	55.8	-6.197	0.990	11.09	10.12	10.66	10.19	51.9	-5.770	0.997	11.11	10.21	10.68	10.19	10.19	20.00	0.10
2024-08-25/12:16:08 AM	35822	42	F300/W1/M600	39.1	-4.344	0.957	10.95	10.25	10.67	10.19	49.7	-5.522	0.994	11.08	10.20	10.68	10.19	51.9	-5.767	0.997	11.12	10.21	10.69	10.19	10.19	20.00	0.10
2024-08-25/12:31:09 AM	36723	43	F300/W1/M600	41.4	-4.595	0.959	10.94	10.22	10.65	10.19	50.5	-5.608	0.994	11.08	10.19	10.68	10.19	52.0	-5.774	0.997	11.12	10.20	10.69	10.19	10.19	20.00	0.10
2024-08-25/12:46:10 AM	37624	44	F300/W1/M600	38.3	-4.254	0.952	10.95	10.25	10.68	10.18	49.7	-5.523	0.993	11.08	10.21	10.69	10.18	51.9	-5.770	0.996	11.11	10.21	10.69	10.18	10.18	20.00	0.10
2024-08-25/1:01:11 AM	38525	45	F300/W1/M600	39.9	-4.435	0.955	10.94	10.24	10.67	10.18	49.7	-5.522	0.992	11.06	10.20	10.68	10.18	51.1	-5.676	0.996	11.11	10.20	10.69	10.18	10.18	20.00	0.10
2024-08-25/1:16:12 AM	39426	46	F300/W1/M600	39.1	-4.342	0.959	10.95	10.27	10.69	10.18	49.2	-5.470	0.992	11.08	10.21	10.70	10.18	52.0	-5.779	0.997	11.11	10.21	10.69	10.18	10.18	20.00	0.10
2024-08-25/1:31:13 AM	40327	47	F300/W1/M600	42.4	-4.714	0.960	10.95	10.21	10.66	10.18	49.8	-5.539	0.995	11.08	10.22	10.69	10.18	51.1	-5.674	0.998	11.12	10.23	10.70	10.18	10.18	20.00	0.10
2024-08-25/1:46:14 AM	41228	48	F300/W1/M600	40.5	-4.504	0.959	10.94	10.22	10.66	10.17	48.9	-5.429	0.993	11.07	10.21	10.69	10.17	51.0	-5.672	0.997	11.11	10.21	10.70	10.17	10.18	20.00	0.10
2024-08-25/2:01:15 AM	42129	49	F300/W1/M600	41.6	-4.622	0.950	10.94	10.22	10.66	10.17	48.6	-5.397	0.993	11.07	10.21	10.69	10.17	52.1	-5.791	0.996	11.11	10.19	10.69	10.17	10.17	20.00	0.10
2024-08-25/2:16:16 AM	43030	50	F300/W1/M600	38.3	-4.260	0.956	10.95	10.26	10.69	10.17	51.4	-5.712	0.994	11.06	10.18	10.67	10.17	51.0	-5.666	0.998	11.12	10.22	10.70	10.17	10.18	20.00	0.10
2024-08-25/2:31:17 AM	43931	51	F300/W1/M600	43.4	-4.818	0.965	10.96	10.19	10.65	10.17	48.2	-5.361	0.993	11.08	10.25	10.71	10.17	51.4	-5.708	0.996	11.11	10.21	10.69	10.17	10.17	20.00	0.10
2024-08-25/2:46:18 AM	44832	52	F300/W1/M600	39.7	-4.410	0.948	10.96	10.24	10.69	10.17	50.1	-5.566	0.995	11.10	10.24	10.71	10.17	53.5	-5.940	0.997	11.12	10.19	10.69	10.17	10.18	20.00	0.10
2024-08-25/3:01:19 AM	45733	53	F300/W1/M600	57.5	-6.386	0.953	10.96	9.95	10.58	10.17	48.2	-5.360	0.993	11.09	10.24	10.72	10.17	53.7	-5.970	0.997	11.13	10.19	10.70	10.17	10.17	20.00	0.10
2024-08-25/3:16:20 AM	46634	54	F300/W1/M600	36.3	-4.031	0.938	10.92	10.28	10.68	10.18	47.6	-5.290	0.992	11.10	10.26	10.72	10.18	54.1	-6.015	0.997	11.12	10.18	10.68	10.18	10.18	20.00	0.10
2024-08-25/3:31:21 AM	47535	55	F300/W1/M600	38.6	-4.292	0.961	10.98	10.28	10.71	10.18	47.3	-5.251	0.993	11.10	10.28	10.74	10.18	54.6	-6.067	0.997	11.12	10.16	10.68	10.18	10.18	20.00	0.10
2024-08-25/3:46:22 AM	48436	56	F300/W1/M600	39.1	-4.343	0.954	10.97	10.29	10.71	10.18	49.1	-5.452	0.994	11.10	10.25	10.72	10.18	55.2	-6.130	0.997	11.13	10.15	10.67	10.18	10.18	20.00	0.10
2024-08-25/4:01:23 AM	49337	57	F300/W1/M600	40.6	-4.514	0.957	11.01	10.29	10.73	10.18	47.5	-5.280	0.991	11.08	10.25	10.72	10.18	53.6	-5.952	0.997	11.11	10.17	10.67	10.18	10.19	20.00	0.10
2024-08-25/4:16:24 AM	50238	58	F300/W1/M600	40.5	-4.505	0.969	11.01	10.29	10.72	10.18	48.5	-5.390	0.992	11.09	10.23	10.72	10.18	58.4	-6.493	0.998	11.11	10.07	10.61	10.18	10.19	20.00	0.10
2024-08-25/4:31:25 AM	51139	59	F300/W1/M600	40.8	-4.538	0.962	10.99	10.28	10.71	10.19	48.4	-5.373	0.990	11.08	10.24	10.70	10.19	52.9	-5.878	0.998	11.12	10.18	10.66	10.19	10.19	20.00	0.10
2024-08-25/4:46:26 AM	52040	60	F300/W1/M600	44.1	-4.900	0.963	11.00	10.22	10.70	10.19	47.3	-5.257	0.992	11.10	10.26	10.73	10.19	51.9	-5.766	0.997	11.13	10.19	10.69	10.19	10.19	20.00	0.10
2024-08-25/5:01:27 AM	52941	61	F300/W1/M600	43.0	-4.774	0.943	10.99	10.22	10.70	10.19	46.2	-5.130	0.991	11.09	10.28	10.73	10.19	53.7	-5.965	0.997	11.12	10.17	10.68	10.19	10.20	20.00	0.10
2024-08-25/5:16:28 AM	53842	62	F300/W1/M600	41.0	-4.550	0.953	10.99	10.26	10.70	10.19	49.0	-5.449	0.993	11.10	10.23	10.71	10.19	51.9	-5.767	0.997	11.12	10.19	10.68	10.19	10.19	20.00	0.10
2024-08-25/5:31:29 AM	54743	63	F300/W1/M600	39.7	-4.410	0.966	11.01	10.28	10.72	10.19	46.0	-5.116	0.993	11.09	10.28	10.73	10.19	52.7	-5.853	0.997	11.12	10.18	10.68	10.19	10.20	20.00	0.10
2024-08-25/5:46:30 AM	55644	64	F300/W1/M600	46.1	-5.117	0.949	11.00	10.16	10.68	10.20	47.8	-5.313	0.988	11.09	10.25	10.73	10.20	51.3	-5.704	0.995	11.11	10.21	10.69	10.20	10.20	20.00	0.10
2024-08-25/6:01:31 AM	56545	65	F300/W1/M600	59.9	-6.656	0.955	10.99	9.92	10.57	10.19	98.5	-10.947	0.975	11.09	9.40	10.40	10.19	52.2	-5.798	0.995	11.12	10.20	10.69	10.19	10.20	20.00	0.10
2024-08-25/6:16:32 AM	57446	66	F300/W1/M600	49.6	-5.514	0.909	10.94	9.95	10.61	10.19	97.2	-10.800	0.991	10.91	9.29	10.17	10.19	77.0	-8.556	0.978	11.10	9.69	10.52	10.19	10.20	20.00	0.10
2024-08-25/6:31:33 AM	58347	67	F300/W1/M600	56.2	-6.242	0.907	10.88	9.85	10.54	10.20	81.3	-9.039	0.990	10.92	9.57	10.31	10.20	66.4	-7.377	0.992	11.02	9.84	10.49	10.20	10.20	20.00	0.10
2024-08-25/6:46:34 AM	59248	68	F300/W1/M600	49.5	-5.500	0.970	10.82	9.95	10.46	10.20	46.6	-5.180	0.979	10.97	10.17	10.63	10.20	53.4	-5.930	0.995	11.05	10.11	10.62	10.20	10.20	20.00	0.10
2024-08-25/7:01:35 AM	60149	69	F300/W1/M600	73.8	-8.202	0.940	10.93	9.66	10.47	10.19	81.7	-9.079	0.985	11.03	9.70	10.41	10.19	51.3	-5.697	0.997	11.09	10.19	10.67	10.19	10.20	20.00	0.10
2024-08-25/7:16:36 AM	61050	70	F300/W1/M600	42.5	-4.725	0.961	10.87	10.08	10.56	10.20	47.8	-5.309	0.983	10.96	10.13	10.61	10.20	51.5	-5.724	0.997	11.08	10.17	10.66	10.20	10.20	20.00	0.10
2024-08-25/7:31:37 AM	61951	71	F300/W1/M600	98.0	-10.888	0.983	10.96	9.36	10.23	10.21	44.1	-4.905	0.985	10.99	10.23	10.66	10.21	51.5	-5.724	0.995	11.09	10.19	10.68	10.21	10.21	20.00	0.10
2024-08-25/7:46:38 AM	62852	72	F300/W1/M600	35.3	-3.922	0.927	10.83	10.17	10.57	10.20	44.6	-4.960	0.988	11.02	10.22	10.67	10.20	52.3	-5.814	0.996	11.10	10.17	10.67	10.20	10.21	20.00	0.10
2024-08-25/8:01:39 AM	63753	73	F300/W1/M600	38.8	-4.312	0.961	10.94	10.23	10.66	10.20	44.3	-4.922	0.986	11.01	10.25	10.68	10.20	51.9	-5.770	0.996	11.10	10.19	10.68	10.20	10.20	20.00	0.10
2024-08-25/8:16:40 AM	64654	74	F300/W1/M600	49.0	-5.449	0.968	10.96	10.12	10.62	10.21	52.3	-5.812	0.974	11.06	10.16	10.68	10.21	51.2	-5.692	0.996	11.12	10.21	10.69	10.21	10.21	20.00	0.10
2024-08-25/8:31:41 AM	65555	75	F300/W1/M600	40.5	-4.495	0.958	10.98	10.23	10.68	10.20	45.3	-5.038	0.985	11.02	10.22	10.68	10.20	51.8	-5.754	0.996	11.12	10.20	10.69	10.20	10.21	20.00	0.10
2024-08-25/8:46:42 AM	66456	76	F300/W1/M600	40.6	-4.513	0.968	10.96	10.23	10.66	10.20	57.4	-6.378	0.948	11.04	9.96	10.65	10.20	50.4	-5.602	0.995	11.10	10.21	10.70	10.20	10.21	20.00	0.10
2024-08-25/9:01:43 AM	67357	77	F300/W1/M600	66.3	-7.364	0.948	10.97	9.76	10.53	10.20	52.8	-5.869	0.993	10.99	10.08	10.57	10.20	50.8	-5.649	0.996	11.10	10.20	10.69	10.20	10.20	20.00	0.10
2024-08-25/9:16:44 AM	68258	78	F300/W1/M600	37.7	-4.193	0.944	10.93	10.25	10.67	10.21	43.6	-4.839	0.985	11.01	10.26	10.69	10.21	51.4	-5.713	0.996	11.10	10.18	10.68	10.21	10.21	20.00	0.10
2024-08-25/9:31:45 AM	69159	79	F300/W1/M600	49.8	-5.536	0.966	10.99	10.07	10.63	10.22	43.7	-4.851	0.987	11.03	10.27	10.70	10.22	53.4	-5.937	0.996	11.11	10.16	10.67	10.22	10.22	20.00	0.10
2024-08-25/9:46:46 AM	70060	80	F300/W1/M600	42.8	-4.754	0.967	10.94	10.17	10.62	10.22	44.4	-4.934	0.989	11.03	10.25	10.69	10.22	51.8	-5.759	0.996	11.10	10.19	10.68	10.22	10.22	20.00	0.10
2024-08-25/10:01:47 AM	70961	81	F300/W1/M600	59.5	-6.612	0.914	10.98	9.85	10.61	10.22	44.1	-4.898	0.987	11.01	10.24	10.69	10.22	51.0	-5.669	0.995	11.10	10.21	10.69	10.22	10.22	20.00	0.10
2024-08-25/10:16:48 AM	71862	82	F300/W1/M600	66.4	-7.374	0.940	10.95	9.76	10.52	10.23	51.1	-5.675	0.986	11.02	10.15	10.63	10.23	51.6	-5.729	0.996	11.09	10.19	10.67	10.23	10.23	20.00	0.10
2024-08-25/10:31:49 AM	72763	83	F300/W1/M600	100.9	-11.216	0.974	10.82	9.15	10.14	10.23	57.2	-6.353	0.991	10.92	9.95	10.48	10.23	58.3	-6.478	0.997	11.09	10.06	10.61	10.23	10.24	20.00	0.10
2024-08-25/10:46:50 AM	73664	84	F300/W1/M600	50.6	-5.622	0.940	10.80	9.90	10.45	10.24	52.8	-5.870	0.977	10.92	10.03	10.55	10.24	51.3	-5.696	0.996	11.05	10.17	10.64	10.24	10.24	20.00	0.10
2024-08-25/11:01:51 AM	74565	85	F300/W1/M600	54.2	-6.022	0.973	10.89	9.92	10.48	10.25	50.8	-5.645	0.978	10.95	10.04	10.59	10.25	63.0	-6.996	0.992	11.07	9.98	10.59	10.25	10.25	20.00	0.10
2024-08-25/11:16:52 AM	75466	86	F300/W1/M600	93.5	-10.388	0.985	10.89	9.35	10.19	10.26	43.3	-4.812	0.981	10.94	10.18	10.62	10.26	51.8	-5.760	0.997	11.07	10.16	10.65	10.26	10.26	20.00	0.10
2024-08-25/11:31:53 AM	76367	87	F300/W1/M600	35.0	-3.885	0.936	10.82	10.17	10.56	10.25	44.3	-4.926	0.986	10.96	10.20	10.63	10.25	53.7	-5.967	0.996	11.07	10.13	10.64	10.25	10.26	20.00	0.10
2024-08-25/11:46:54 AM	77268	88	F300/W1/M600	37.6	-4.172	0.957	10.91	10.22	10.64	10.24	43.7	-4.852	0.985	10.95	10.20	10.63	10.24	51.6	-5.731	0.996	11.08	10.19	10.67	10.24	10.25	20.00	0.10
2024-08-25/12:01:55 PM	78169	89	F300/W1/M600	39.7	-4.413	0.966	10.93	10.23	10.64	10.23	48.3	-5.369	0.987	10.92	10.09	10.56	10.23	52.2	-5.798	0.996	11.09	10.16	10.66	10.23	10.24	20.00	0.10
2024-08-25/12:16:56 PM	79070	90	F300/W1/M600	67.9	-7.545	0.946	10.91	9.73	10.47	10.22	43.9	-4.873	0.978	10.96	10.21	10.65	10.22	53.2	-5.917	0.995	11.10	10.16	10.67	10.22	10.22	20.00	0.10
2024-08-25/12:31:57 PM	79971	91	F300/W1/M600	37.2	-4.135	0.939	10.86	10.18	10.60	10.23	52.4	-5.817	0.982	10.97	10.07	10.59	10.23	52.7	-5.860	0.996	11.08	10.14	10.65	10.23	10.23	20.00	0.10
2024-08-25/12:46:58 PM	80872	92	F300/W1/M600	35.9	-3.985	0.963	10.91	10.23	10.65	10.23	43.9	-4.877	0.988	10.97	10.19	10.64	10.23	52.5	-5.837	0.997	11.09	10.15	10.66	10.23	10.23	20.00	0.10
2024-08-25/1:01:59 PM	81773	93	F300/W1/M600	43.1	-4.794	0.936	10.91	10.08	10.61	10.23	43.1	-4.785	0.984	10.97	10.21	10.65	10.23	49.6	-5.508	0.994	11.07	10.20	10.68	10.23	10.23	20.00	0.10
2024-08-25/1:17:00 PM	82674	94	F300/W1/M600	36.6	-4.065	0.955	10.89	10.21	10.62	10.22	43.8	-4.868	0.979	10.99	10.22	10.67	10.22	50.7	-5.630	0.996	11.09	10.18	10.67	10.22	10.22	20.00	0.10
2024-08-25/1:32:01 PM	83575	95	F300/W1/M600	57.0	-6.331	0.948	10.94	9.87	10.54	10.21	48.3	-5.371	0.975	11.00	10.13	10.65	10.21	51.9	-5.770	0.994	11.10	10.17	10.68	10.21	10.21	20.00	0.10
2024-08-25/1:47:02 PM	84476	96	F300/W1/M600	36.8	-4.090	0.931	10.88	10.21	10.62	10.21	54.1	-6.013	0.974	10.97	10.05	10.59	10.21	74.9	-8.327	0.981	11.06	9.75	10.51	10.21	10.22	20.00	0.10
2024-08-25/2:02:03 PM	85377	97	F300/W1/M600	36.9	-4.098	0.961	10.90	10.22	10.63	10.20	42.0	-4.664	0.988	10.98	10.24	10.67	10.20	51.1	-5.676	0.996	11.09	10.17	10.67	10.20	10.20	20.00	0.10
