2025-06-13/10:04:04 AM	1821	9	M200	0.7	-0.073	0.019	10.02	9.98	10.00	15.27	1.3	-0.142	0.062	9.95	9.89	9.92	15.27	1.0	-0.108	0.029	9.99	9.94	9.96	15.27	0.1	-0.010	0.000	9.89	9.82	9.85	15.27	15.27	20.00	0.10
2025-06-13/10:07:24 AM	2021	10	M200	0.7	-0.078	0.020	10.02	9.98	10.00	15.26	0.3	-0.029	0.003	9.94	9.89	9.92	15.26	1.0	-0.115	0.028	9.99	9.92	9.96	15.26	1.6	-0.177	0.059	9.88	9.81	9.84	15.26	15.26	20.00	0.10
2025-06-13/10:10:44 AM	2221	11	M200	1.1	-0.128	0.061	10.02	9.97	9.99	15.27	0.9	-0.100	0.024	9.94	9.89	9.91	15.27	1.5	-0.166	0.059	9.98	9.92	9.95	15.27	1.4	-0.159	0.045	9.88	9.80	9.84	15.27	15.27	20.00	0.10
2025-06-13/10:14:04 AM	2421	12	M200	0.8	-0.085	0.024	10.01	9.96	9.98	15.26	0.7	-0.077	0.015	9.93	9.88	9.91	15.26	0.7	-0.081	0.012	9.98	9.91	9.94	15.26	0.8	-0.092	0.019	9.86	9.80	9.83	15.26	15.26	20.00	0.10
2025-06-13/10:17:24 AM	2621	13	M200	0.6	-0.069	0.014	10.01	9.95	9.98	15.27	0.8	-0.087	0.019	9.93	9.88	9.90	15.27	1.0	-0.108	0.026	9.97	9.91	9.94	15.27	2.2	-0.245	0.105	9.84	9.78	9.81	15.27	15.27	20.00	0.10
2025-06-13/10:20:44 AM	2821	14	M200	0.7	-0.078	0.025	10.00	9.95	9.97	15.26	1.2	-0.129	0.047	9.92	9.87	9.89	15.26	0.8	-0.086	0.017	9.97	9.90	9.93	15.26	1.0	-0.115	0.026	9.83	9.76	9.80	15.26	15.26	20.00	0.10
2025-06-13/10:24:04 AM	3021	15	M200	1.1	-0.124	0.055	9.99	9.94	9.97	15.26	2.3	-0.255	0.154	9.91	9.85	9.88	15.26	1.4	-0.154	0.057	9.96	9.88	9.92	15.26	1.4	-0.154	0.047	9.82	9.76	9.79	15.26	15.26	20.00	0.10
2025-06-13/10:27:24 AM	3221	16	M200	0.7	-0.083	0.026	9.98	9.94	9.96	15.26	1.7	-0.186	0.093	9.90	9.85	9.88	15.26	1.2	-0.130	0.042	9.94	9.89	9.91	15.26	0.7	-0.082	0.013	9.81	9.76	9.78	15.26	15.26	20.00	0.10
2025-06-13/10:30:44 AM	3421	17	M200	0.5	-0.060	0.015	9.98	9.93	9.95	15.26	1.5	-0.164	0.082	9.89	9.84	9.87	15.26	0.3	-0.030	0.002	9.93	9.88	9.91	15.26	0.5	-0.057	0.007	9.81	9.74	9.77	15.26	15.26	20.00	0.10
2025-06-13/10:34:04 AM	3621	18	M200	0.7	-0.074	0.025	9.98	9.93	9.95	15.25	0.6	-0.066	0.018	9.88	9.84	9.86	15.25	0.9	-0.103	0.031	9.93	9.87	9.90	15.25	-1.5	0.167	0.062	9.80	9.74	9.77	15.25	15.25	20.00	0.10
2025-06-13/10:37:24 AM	3821	19	M200	0.8	-0.088	0.037	9.96	9.92	9.95	15.24	1.5	-0.172	0.117	9.88	9.84	9.85	15.24	1.4	-0.157	0.077	9.91	9.87	9.90	15.24	1.7	-0.187	0.082	9.80	9.74	9.77	15.24	15.24	20.00	0.10
